location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
bering_strait-100km_by_100km-20040620-20040621,69.87844541,-168.4193808,69.25793,-168.77754,70.49929,-168.03795,-1887500.00027,-1787500.00027,1162499.99936,1262499.99936,2004-06-20,2004-06-21
bering_strait-100km_by_100km-20040823-20040824,66.10893483,-169.5225764,65.49394,-169.79603,66.72472,-169.23424,-2212500.0003,-2112500.0003,1437499.99999,1537499.99999,2004-08-23,2004-08-24
bering_strait-100km_by_100km-20050303-20050304,60.00562854,-171.740562,59.40204,-171.91212,60.61059,-171.56162,-2712500.00111,-2612500.00111,1937499.99937,2037499.99937,2005-03-03,2005-03-04
bering_strait-100km_by_100km-20050705-20050706,71.11761232,-170.1341931,70.4914,-170.45962,71.74428,-169.78603,-1737499.99902,-1637499.99902,1137500.00121,1237500.00121,2005-07-05,2005-07-06
bering_strait-100km_by_100km-20050917-20050918,65.55342987,-178.869309,64.92968,-178.89829,66.1786,-178.83876,-1987500.0016,-1887500.0016,1812499.99836,1912499.99836,2005-09-17,2005-09-18
bering_strait-100km_by_100km-20070726-20070727,64.26080087,-161.4520419,63.67142,-161.89624,64.84994,-160.98633,-2587499.9999,-2487499.9999,1212500.00014,1312500.00014,2007-07-26,2007-07-27
bering_strait-100km_by_100km-20080418-20080419,58.60837597,-169.7731423,58.01199,-169.97551,59.20606,-169.56252,-2912499.99931,-2812499.99931,1937499.99999,2037499.99999,2008-04-18,2008-04-19
bering_strait-100km_by_100km-20090523-20090524,61.82447916,-171.1796204,61.21689,-171.37482,62.4333,-170.97546,-2562500.00191,-2462500.00191,1787499.99816,1887499.99816,2009-05-23,2009-05-24
bering_strait-100km_by_100km-20090802-20090803,66.10893483,-169.5225764,65.49394,-169.79603,66.72472,-169.23424,-2212500.0003,-2112500.0003,1437499.99999,1537499.99999,2009-08-02,2009-08-03
bering_strait-100km_by_100km-20110319-20110320,62.27074228,-177.3523703,61.65554,-177.41212,62.88749,-177.2898,-2312500.00116,-2212500.00116,2012499.99855,2112499.99855,2011-03-19,2011-03-20
bering_strait-100km_by_100km-20120513-20120514,61.96997611,-169.1391854,61.36567,-169.38034,62.57532,-168.88696,-2612499.99958,-2512499.99958,1687500.00112,1787500.00112,2012-05-13,2012-05-14
bering_strait-100km_by_100km-20120523-20120524,62.9992035,-168.3565685,62.3939,-168.62488,63.60539,-168.07548,-2537500.00029,-2437500.00029,1587500.00011,1687500.00011,2012-05-23,2012-05-24
bering_strait-100km_by_100km-20120607-20120608,60.65389165,-172.1786479,60.0479,-172.34483,61.26126,-172.00514,-2637500.00002,-2537500.00002,1912500.00033,2012500.00033,2012-06-07,2012-06-08
bering_strait-100km_by_100km-20120812-20120813,72.40063848,-165.0685828,71.78386,-165.59331,73.01684,-164.50515,-1712500.0,-1612500.0,912499.99915,1012499.99915,2012-08-12,2012-08-13
bering_strait-100km_by_100km-20130423-20130424,58.23860958,-172.8037646,57.63854,-172.94481,58.84022,-172.65699,-2837499.99889,-2737499.99889,2112500.0014,2212500.0014,2013-04-23,2013-04-24
bering_strait-100km_by_100km-20150320-20150321,63.34872592,-173.0887729,62.73452,-173.25083,63.96422,-172.91879,-2362499.99961,-2262499.99961,1762500.00093,1862500.00093,2015-03-20,2015-03-21
bering_strait-100km_by_100km-20160415-20160416,60.37378491,-165.9637565,59.78083,-166.2572,60.96753,-165.65777,-2862500.00124,-2762500.00124,1637499.9986,1737499.9986,2016-04-15,2016-04-16
bering_strait-100km_by_100km-20160901-20160902,65.39378895,-178.5024123,64.77049,-178.54055,66.0185,-178.46223,-2012499.99854,-1912499.99854,1812500.00115,1912500.00115,2016-09-01,2016-09-02
bering_strait-100km_by_100km-20180723-20180724,72.59554737,-165.4464272,71.97741,-165.96376,73.21316,-164.89042,-1687499.99973,-1587499.99973,912499.99949,1012499.99949,2018-07-23,2018-07-24
bering_strait-100km_by_100km-20200628-20200629,71.50592842,-164.2611986,70.89297,-164.78742,72.11827,-163.69829,-1812499.99935,-1712499.99935,937500.00115,1037500.00115,2020-06-28,2020-06-29
bering_strait-100km_by_100km-20220909-20220910,64.3287477,-164.3991622,63.73006,-164.77557,64.92768,-164.00417,-2512500.00021,-2412500.00021,1337500.0005,1437500.0005,2022-09-09,2022-09-10
