location,center_lat,center_lon,top_left_lat,top_left_lon,lower_right_lat,lower_right_lon,left_x,right_x,lower_y,top_y,startdate,enddate
196-chukchi_east_siberian_seas-100km-20040717-20040718,69.25793094662976,168.7775419305552,68.63785,169.11447,69.87845,168.41938,-1312500.0,-1212500.0,1837500.0,1937500.0,2004-07-17,2004-07-18
198-chukchi_east_siberian_seas-100km-20050730-20050731,74.90445120146457,178.76802259736027,74.26313,178.81881,75.54668,178.71267,-1187500.0,-1087500.0,1137500.0,1237500.0,2005-07-30,2005-07-31
199-chukchi_east_siberian_seas-100km-20060611-20060612,74.54322462696989,154.51079944371327,73.96223,155.5081,75.11999,153.43495,-612500.0,-512500.0,1537500.0,1637500.0,2006-06-11,2006-06-12
200-chukchi_east_siberian_seas-100km-20060927-20060928,74.0076382307174,-173.59564727361587,73.37135,-173.84483,74.64456,-173.32553,-1412500.0,-1312500.0,1037500.0,1137500.0,2006-09-27,2006-09-28
446-chukchi_east_siberian_seas-100km-20070326-20070327,70.58632586199631,165.03784474567345,69.97281,165.51527,71.19951,164.52867,-1112500.0,-1012500.0,1787500.0,1887500.0,2007-03-26,2007-03-27
202-chukchi_east_siberian_seas-100km-20070723-20070724,76.06543314580152,158.81865049973374,75.46388,159.74354,76.6638,157.80971,-662500.0,-562500.0,1337500.0,1437500.0,2007-07-23,2007-07-24
206-chukchi_east_siberian_seas-100km-20090903-20090904,78.27969013699676,-177.6140559696112,77.63437,-177.7395,78.92567,-177.47388,-987500.0,-887500.0,812500.0,912500.0,2009-09-03,2009-09-04
208-chukchi_east_siberian_seas-100km-20100929-20100930,75.69185601903224,170.85835977647508,75.05708,171.25384,76.32675,170.42577,-962500.0,-862500.0,1212500.0,1312500.0,2010-09-29,2010-09-30
221-chukchi_east_siberian_seas-100km-20140427-20140428,75.69185601903224,152.2717425776809,75.11999,153.43495,76.25808,151.01118,-512500.0,-412500.0,1437500.0,1537500.0,2014-04-27,2014-04-28
222-chukchi_east_siberian_seas-100km-20140511-20140512,76.03546416302942,146.86439045128114,75.49263,148.26648,76.56994,145.34868,-362500.0,-262500.0,1437500.0,1537500.0,2014-05-11,2014-05-12
223-chukchi_east_siberian_seas-100km-20140808-20140809,73.15462423928713,-172.2596588411621,72.52145,-172.5457,73.78835,-171.95094,-1512500.0,-1412500.0,1062500.0,1162500.0,2014-08-08,2014-08-09
225-chukchi_east_siberian_seas-100km-20150630-20150701,75.10248262521975,150.64224645720873,74.53986,151.82141,75.65906,149.37,-487500.0,-387500.0,1512500.0,1612500.0,2015-06-30,2015-07-01
226-chukchi_east_siberian_seas-100km-20160525-20160526,75.49262615378512,148.26648084658368,74.94246,149.56576,76.03546,146.86439,-412500.0,-312500.0,1487500.0,1587500.0,2016-05-25,2016-05-26
229-chukchi_east_siberian_seas-100km-20170417-20170418,70.34470455681678,174.33629374197946,69.71382,174.51641,70.97654,174.14399,-1412500.0,-1312500.0,1612500.0,1712500.0,2017-04-17,2017-04-18
447-chukchi_east_siberian_seas-100km-20180422-20180423,75.82015542618574,150.49927537650083,75.25725,151.74197,76.37656,149.15341,-462500.0,-362500.0,1437500.0,1537500.0,2018-04-22,2018-04-23
232-chukchi_east_siberian_seas-100km-20180809-20180810,75.51782426482085,176.14319901441013,74.87687,176.30861,76.15952,175.96229,-1087500.0,-987500.0,1137500.0,1237500.0,2018-08-09,2018-08-10
234-chukchi_east_siberian_seas-100km-20180828-20180829,77.2378149436017,-173.418055344822,76.59725,-173.73651,77.87872,-173.06565,-1137500.0,-1037500.0,812500.0,912500.0,2018-08-28,2018-08-29
238-chukchi_east_siberian_seas-100km-20190615-20190616,76.1935547516979,154.94238458169698,75.60819,156.03751,76.77416,153.74976,-562500.0,-462500.0,1362500.0,1462500.0,2019-06-15,2019-06-16
240-chukchi_east_siberian_seas-100km-20200303-20200304,73.34954438997262,148.94059117029002,72.79881,150.05432,73.89438,147.75003,-487500.0,-387500.0,1712500.0,1812500.0,2020-03-03,2020-03-04
241-chukchi_east_siberian_seas-100km-20200330-20200331,70.56254646642313,168.97046877601952,69.9396,169.32364,71.18584,168.59345,-1237500.0,-1137500.0,1712500.0,1812500.0,2020-03-30,2020-03-31
244-chukchi_east_siberian_seas-100km-20220520-20220521,75.53945903477262,151.13284053048537,74.97363,152.32792,76.09923,149.83994,-487500.0,-387500.0,1462500.0,1562500.0,2022-05-20,2022-05-21
