location,soit,landmask,preprocess,extractH5,tracker
hudson_bay-100km_by_100km-20030825-20030826,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20040706-20040707,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20040903-20040904,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20050409-20050410,pass,pass,pass,pass,fail
hudson_bay-100km_by_100km-20050613-20050614,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20060329-20060330,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20060403-20060404,pass,pass,pass,pass,pass
hudson_bay-100km_by_100km-20060918-20060919,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20070428-20070429,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20080813-20080814,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20090605-20090606,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20090615-20090616,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20110323-20110324,pass,pass,pass,pass,fail
hudson_bay-100km_by_100km-20110327-20110328,pass,pass,pass,pass,fail
hudson_bay-100km_by_100km-20130510-20130511,pass,pass,pass,pass,pass
hudson_bay-100km_by_100km-20150720-20150721,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20170716-20170717,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20200509-20200510,pass,pass,pass,pass,pass
hudson_bay-100km_by_100km-20210518-20210519,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20210915-20210916,pass,pass,fail,NA,NA
hudson_bay-100km_by_100km-20220826-20220827,pass,pass,fail,NA,NA
