location,soit,landmask,preprocess,extractH5,tracker
laptev_sea-100km_by_100km-20040602-20040603,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20040923-20040924,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20060806-20060807,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20070405-20070406,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20070504-20070505,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20070712-20070713,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20080330-20080331,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20080508-20080509,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20080601-20080602,pass,pass,pass,pass,fail
laptev_sea-100km_by_100km-20080720-20080721,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20110324-20110325,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20110514-20110515,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20130904-20130905,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20140301-20140302,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20140403-20140404,pass,pass,pass,pass,fail
laptev_sea-100km_by_100km-20160402-20160403,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20160904-20160905,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20180601-20180602,pass,pass,pass,pass,pass
laptev_sea-100km_by_100km-20180720-20180721,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20190816-20190817,pass,pass,fail,NA,NA
laptev_sea-100km_by_100km-20210807-20210808,pass,pass,fail,NA,NA
