location,soit,landmask,preprocess,extractH5,tracker
sea_of_okhostk-100km_by_100km-20050716-20050717,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20070717-20070718,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20080628-20080629,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20080712-20080713,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20090524-20090525,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20100308-20100309,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20100417-20100418,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20100801-20100802,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20110828-20110829,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20130614-20130615,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20130629-20130630,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20140312-20140313,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20150712-20150713,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20160331-20160401,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20170428-20170429,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20170523-20170524,pass,pass,pass,pass,fail
sea_of_okhostk-100km_by_100km-20170723-20170724,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20190427-20190428,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20190821-20190822,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20210405-20210406,pass,pass,fail,NA,NA
sea_of_okhostk-100km_by_100km-20220524-20220525,pass,pass,fail,NA,NA
