location,soit,landmask,preprocess,extractH5,tracker
baffin_bay-100km_by_100km-20040725-20040726,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20040921-20040922,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20050819-20050820,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20050827-20050828,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20070605-20070606,pass,pass,pass,pass,pass
baffin_bay-100km_by_100km-20080704-20080705,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20090426-20090427,pass,pass,pass,pass,fail
baffin_bay-100km_by_100km-20110506-20110507,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20120419-20120420,pass,pass,pass,pass,pass
baffin_bay-100km_by_100km-20120422-20120423,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20130308-20130309,pass,pass,pass,pass,fail
baffin_bay-100km_by_100km-20140329-20140330,pass,pass,pass,pass,pass
baffin_bay-100km_by_100km-20150312-20150313,pass,pass,pass,pass,fail
baffin_bay-100km_by_100km-20160708-20160709,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20190523-20190524,pass,pass,pass,pass,pass
baffin_bay-100km_by_100km-20190925-20190926,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20210602-20210603,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20210804-20210805,pass,pass,fail,NA,NA
baffin_bay-100km_by_100km-20220530-20220531,pass,pass,pass,pass,pass
baffin_bay-100km_by_100km-20220617-20220618,fail,NA,NA,NA,NA
baffin_bay-100km_by_100km-20220911-20220912,pass,pass,fail,NA,NA
