,label,area,perimeter,solidity,tc_channel0,tc_channel1,tc_channel2,fc_channel0,fc_channel1,fc_channel2,circularity,area_flag,circularity_flag,solidity_flag,tc0_flag,tc1_flag,tc2_flag,fc0_flag,fc1_flag,fc2_flag,flagged,TP,ift_path
0,1,45185.0,2030.3544725075503,0.7501452643811737,211.78402124598873,209.12358083434768,207.81139758769504,219.5376120393936,213.42394599977868,69.02075910147173,0.13774010751840202,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1741.aqua.labeled_image.250m.h5
1,2,27159.0,834.842712474619,0.9624707633425473,213.83357266467837,211.82668728598256,210.60234176516073,221.6934717773114,214.73066018631025,46.72870871534298,0.48968220059026696,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1741.aqua.labeled_image.250m.h5
2,3,197.0,62.2842712474619,0.8454935622317596,142.11675126903555,132.5989847715736,128.0761421319797,123.89340101522842,109.46700507614213,53.370558375634516,0.6381449186236814,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1741.aqua.labeled_image.250m.h5
6,7,557.0,130.12489168102786,0.7746870653685675,161.5637342908438,156.04129263913825,150.9479353680431,153.97307001795332,143.9084380610413,48.04488330341113,0.4133750849701059,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1741.aqua.labeled_image.250m.h5
0,1,44462.0,1986.4549775709386,0.743362535945964,213.71701677837254,211.75896270972964,210.81330124600782,223.3278979802978,217.99158832261256,86.30138095452297,0.1415928768288755,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1728.terra.labeled_image.250m.h5
1,2,27467.0,888.1564209736039,0.958574719061911,213.42414533804202,212.09123675683549,211.12920959697092,223.34929187752576,217.16849310081187,71.95328940182765,0.43756459236009526,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1728.terra.labeled_image.250m.h5
2,3,685.0,129.9827560572969,0.7766439909297053,145.90948905109488,135.8934306569343,130.85401459854015,128.8058394160584,114.91532846715329,45.81897810218978,0.5094821268814674,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20060403-20060404/preprocess/hdf5-files/20060403T1728.terra.labeled_image.250m.h5
2,3,108.0,35.798989873223334,0.9908256880733946,228.17592592592592,226.17592592592592,226.17592592592592,239.5462962962963,236.87037037037038,1.0277777777777777,1.0589905252970795,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1726.aqua.labeled_image.250m.h5
3,4,215.0,54.2842712474619,0.9555555555555556,228.85581395348837,224.6325581395349,225.9813953488372,238.51162790697674,235.41860465116278,2.6744186046511627,0.9168542450505446,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1726.aqua.labeled_image.250m.h5
4,5,156.0,45.45584412271571,0.9570552147239264,226.5897435897436,225.21794871794873,224.98076923076923,238.64102564102564,235.34615384615384,3.5705128205128207,0.9487570327874882,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1726.aqua.labeled_image.250m.h5
1,2,113.0,37.21320343559643,0.9741379310344828,228.53982300884957,226.53982300884957,226.53982300884957,240.79646017699116,238.53982300884957,1.336283185840708,1.0254020780504558,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1710.terra.labeled_image.250m.h5
2,3,222.0,55.698484809834994,0.9652173913043478,227.32432432432432,225.44594594594594,227.24774774774775,239.1936936936937,236.5900900900901,1.8333333333333333,0.8992409513544677,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1710.terra.labeled_image.250m.h5
3,4,174.0,47.45584412271571,0.9830508474576272,227.816091954023,225.14367816091954,225.79310344827587,238.77586206896552,236.48275862068965,1.3218390804597702,0.9709116374994435,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1710.terra.labeled_image.250m.h5
4,5,202.0,56.97056274847714,0.9711538461538461,212.53960396039605,207.74752475247524,205.75742574257427,221.6980198019802,215.9009900990099,145.68316831683168,0.7820962700954385,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/hudson_bay/hudson_bay-100km_by_100km-20110327-20110328/preprocess/hdf5-files/20110327T1710.terra.labeled_image.250m.h5
0,1,211.0,57.798989873223334,0.9173913043478261,211.67298578199052,209.6824644549763,208.65402843601896,225.5260663507109,219.40758293838863,10.04739336492891,0.7936916699741419,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
1,2,297.0,66.04163056034261,0.945859872611465,212.5218855218855,211.32659932659934,210.03367003367003,226.63973063973063,218.34680134680136,30.77777777777778,0.8557181400433195,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
2,3,243.0,60.52691193458119,0.9033457249070632,222.34156378600824,218.34156378600824,217.34156378600824,233.15226337448559,228.90946502057614,21.40740740740741,0.8335259090071335,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
4,5,262.0,58.62741699796952,0.9849624060150376,226.88931297709922,224.46564885496184,224.60687022900763,238.793893129771,235.87022900763358,40.18320610687023,0.9578767551811743,False,False,False,False,False,False,False,False,False,False,True,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
5,6,426.0,95.59797974644667,0.8098859315589354,209.8356807511737,207.8262910798122,206.9037558685446,223.1549295774648,215.71596244131456,27.485915492957748,0.5857631325939482,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
9,10,314.0,69.11269837220809,0.9457831325301205,228.44267515923568,226.27388535031847,226.27070063694268,239.64012738853503,237.30254777070064,49.996815286624205,0.8260832438978,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
11,12,238.0,66.18376618407356,0.9015151515151515,209.9075630252101,207.89495798319328,206.85714285714286,223.7941176470588,215.97058823529412,17.289915966386555,0.6827848355711706,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
13,14,260.0,60.62741699796952,0.9420289855072463,215.98846153846154,213.3576923076923,212.3576923076923,227.81153846153848,221.83076923076922,8.796153846153846,0.8888839828578357,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
14,15,311.0,83.35533905932738,0.8249336870026526,212.09324758842445,209.2572347266881,208.2572347266881,224.98392282958199,219.16398713826368,11.52411575562701,0.5624752381475192,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
16,17,165.0,47.45584412271571,0.953757225433526,219.63636363636363,215.63636363636363,214.63636363636363,230.5818181818182,223.93333333333334,12.557575757575757,0.9206920700425757,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
17,18,133.0,46.2842712474619,0.9366197183098591,213.45112781954887,210.3984962406015,209.3984962406015,226.42105263157896,218.8796992481203,8.654135338345865,0.7801796979803725,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
19,20,118.0,38.384776310850235,0.959349593495935,214.71186440677965,212.22033898305085,211.97457627118644,227.64406779661016,223.03389830508473,10.338983050847459,1.006407450381063,False,False,False,False,False,False,False,False,False,False,False,../data/ift_data/ift_pipeline_default/ift_results/greenland_sea/greenland_sea-100km_by_100km-20200318-20200319/preprocess/hdf5-files/20200318T1010.aqua.labeled_image.250m.h5
